fold,model,rmse,year1_rmse,year2_rmse
dev_2017_2018,clim_all,1.8604014772252029,1.8149919735220672,1.9047287074473116
dev_2017_2018,clim_60y,1.848137936661873,1.8040250728347773,1.891222145185776
dev_2017_2018,clim_40y,1.8559376336747844,1.802497288371664,1.9078816854285057
dev_2017_2018,clim_30y,1.85395334407063,1.7853122045580876,1.9201422697907788
dev_2017_2018,clim_20y,1.8575084114734959,1.7687618976950186,1.9422039920286174
dev_2017_2018,clim_10y,1.8890858931876364,1.7930869894342234,1.9804368386804903
dev_2019_2020,clim_all,1.8672589406751685,1.8377587342915505,1.8963002762215229
dev_2019_2020,clim_60y,1.8470744275167954,1.811482028667338,1.8819938207625075
dev_2019_2020,clim_40y,1.8522658023917027,1.81436207632332,1.8894092890158256
dev_2019_2020,clim_30y,1.848450902249978,1.8082134778386714,1.8878308967225037
dev_2019_2020,clim_20y,1.8415065664943275,1.8123019744136684,1.8702551757500299
dev_2019_2020,clim_10y,1.8857482967776877,1.8204901347120428,1.948822451383406
