fold,model,rmse,year1_rmse,year2_rmse
2013,clim_60y,1.7507490908411116,1.7530082663952595,1.7484869962661553
2013,previous_ensemble,1.7270046637875835,1.7263579598879004,1.7276511256095126
2013,context_150,1.7320295896038722,1.7317365541488166,1.7323225754897666
2013,context_300,1.726337886803056,1.7254463874449504,1.7272289260189149
2013,blend_context_150,1.7278636665919176,1.727373838275703,1.7283533560871156
2013,blend_context_300,1.7243165364415882,1.7235339296920031,1.7250987881545423
2015,clim_60y,1.861463331855598,1.8542385267883157,1.8686602038518896
2015,previous_ensemble,1.8132647986704578,1.7892496524003267,1.8369660153579712
2015,context_150,1.829301322437237,1.8035262867911248,1.8547181967605388
2015,context_300,1.8315696466054068,1.80346171359605,1.8592526961996605
2015,blend_context_150,1.8183568437489193,1.7939340769370202,1.8424559017846758
2015,blend_context_300,1.8183491287680855,1.7930692605821101,1.8432823264326157
2017,clim_60y,1.848137936661873,1.8040250728347773,1.891222145185776
2017,previous_ensemble,1.8321251561019856,1.7621415610802424,1.8995321250131931
2017,context_150,1.8294945822290338,1.765003854280388,1.8917881084270907
2017,context_300,1.8284954087659284,1.7607116282023711,1.89385466234057
2017,blend_context_150,1.829042064294499,1.7616892004933085,1.894001295348715
2017,blend_context_300,1.8277898236513908,1.7586331851047798,1.894423553257133
2019,clim_60y,1.8470744275167954,1.811482028667338,1.8819938207625075
2019,previous_ensemble,1.8092360739933993,1.7707748460647383,1.8468965286183467
2019,context_150,1.8128668195207116,1.7790120374417469,1.8461008589120058
2019,context_300,1.8123344571452098,1.7791724182369872,1.8449005055277086
2019,blend_context_150,1.808986984277311,1.7728957681618356,1.844372092014867
2019,blend_context_300,1.8079182660621382,1.772178512138394,1.8429650660382046
