fold,model,rmse,year1_rmse,year2_rmse
2017,submission02,1.8277898236513908,1.7586331851047798,1.894423553257133
2017,modes_0.3,1.8507043029532493,1.7814514781779907,1.9174575522907402
2017,modes_3,1.8378395975701234,1.7752535147889486,1.898363434915167
2017,seasonal_0.3,1.8554636818106431,1.7642372048922406,1.9424103670209933
2017,seasonal_3,1.8408593461937004,1.7683030550930865,1.9106623381136323
2017,blend25_modes_0.3,1.8219136517313002,1.7502299880957404,1.8908817248839618
2017,blend50_modes_0.3,1.8238062002368796,1.7512679897441976,1.8935676750890857
2017,blend25_modes_3,1.8265566983771129,1.7588845675847262,1.8918096687259236
2017,blend50_modes_3,1.8278257779106282,1.7617487709626838,1.8915959972469436
2017,blend25_seasonal_0.3,1.8277776867699485,1.7519702909951422,1.9005637700373548
2017,blend50_seasonal_0.3,1.8324150149181113,1.7506836800872723,1.9106533505769092
2017,blend25_seasonal_3,1.828255607545036,1.7579225649109267,1.8959813788159228
2017,blend50_seasonal_3,1.8305948374807255,1.7593018319207399,1.8992135167543687
2017,joint25_modes_seasonal,1.8239208365812576,1.7461655542185592,1.898494217397341
